subjectN,runN,trialN,contextRole,cueId,contextId,isSick,corrButton,isTest,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,stimOffset,itiOffset,food,restaurant
24,3,0,irrelevant,0,0,True,1,False,3,1,1,3.0,10,15.0,18.0,japanese_food1.png,Sanraku Restaurant
24,3,1,irrelevant,0,1,True,1,False,3,1,1,3.0,18.0,23.0,26.0,japanese_food1.png,Onigilly Express
24,3,2,irrelevant,1,1,False,2,False,3,1,1,1.0,26.0,31.0,32.0,japanese_food0.png,Onigilly Express
24,3,3,irrelevant,1,1,False,2,False,3,1,1,1.0,32.0,37.0,38.0,japanese_food0.png,Onigilly Express
24,3,4,irrelevant,1,0,False,2,False,3,1,1,1.0,38.0,43.0,44.0,japanese_food0.png,Sanraku Restaurant
24,3,5,irrelevant,0,1,True,1,False,3,1,1,1.0,44.0,49.0,50.0,japanese_food1.png,Onigilly Express
24,3,6,irrelevant,1,0,False,2,False,3,1,1,1.0,50.0,55.0,56.0,japanese_food0.png,Sanraku Restaurant
24,3,7,irrelevant,0,0,True,1,False,3,1,1,1.0,56.0,61.0,62.0,japanese_food1.png,Sanraku Restaurant
24,3,8,irrelevant,1,1,False,2,False,3,1,1,5.0,62.0,67.0,72.0,japanese_food0.png,Onigilly Express
24,3,9,irrelevant,0,1,True,1,False,3,1,1,3.0,72.0,77.0,80.0,japanese_food1.png,Onigilly Express
24,3,10,irrelevant,1,0,False,2,False,3,1,1,1.0,80.0,85.0,86.0,japanese_food0.png,Sanraku Restaurant
24,3,11,irrelevant,1,1,False,2,False,3,1,1,1.0,86.0,91.0,92.0,japanese_food0.png,Onigilly Express
24,3,12,irrelevant,0,1,True,1,False,3,1,1,5.0,92.0,97.0,102.0,japanese_food1.png,Onigilly Express
24,3,13,irrelevant,0,0,True,1,False,3,1,1,1.0,102.0,107.0,108.0,japanese_food1.png,Sanraku Restaurant
24,3,14,irrelevant,1,0,False,2,False,3,1,1,3.0,108.0,113.0,116.0,japanese_food0.png,Sanraku Restaurant
24,3,15,irrelevant,0,1,True,1,False,3,1,1,3.0,116.0,121.0,124.0,japanese_food1.png,Onigilly Express
24,3,16,irrelevant,0,0,True,1,False,3,1,1,3.0,124.0,129.0,132.0,japanese_food1.png,Sanraku Restaurant
24,3,17,irrelevant,1,0,False,2,False,3,1,1,5.0,132.0,137.0,142.0,japanese_food0.png,Sanraku Restaurant
24,3,18,irrelevant,1,1,False,2,False,3,1,1,1.0,142.0,147.0,148.0,japanese_food0.png,Onigilly Express
24,3,19,irrelevant,0,0,True,1,False,3,1,1,1.0,148.0,153.0,154.0,japanese_food1.png,Sanraku Restaurant
24,3,20,irrelevant,0,0,None,None,True,6,0,0,4,158.0,164.0,168.0,japanese_food1.png,Sanraku Restaurant
24,3,21,irrelevant,2,0,None,None,True,6,0,0,6,168.0,174.0,180.0,japanese_food2.png,Sanraku Restaurant
24,3,22,irrelevant,2,2,None,None,True,6,0,0,2,180.0,186.0,188.0,japanese_food2.png,Izakaya Sozai
24,3,23,irrelevant,0,2,None,None,True,6,0,0,0,188.0,194.0,194.0,japanese_food1.png,Izakaya Sozai
