subjectN,runN,trialN,contextRole,cueId,contextId,isSick,corrButton,isTest,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,stimOffset,itiOffset,food,restaurant
10,0,0,irrelevant,1,0,False,2,False,3,1,1,1.0,10,15.0,16.0,practice_food2.png,Blue Bottle Cafe
10,0,1,irrelevant,1,1,False,2,False,3,1,1,3.0,16.0,21.0,24.0,practice_food2.png,Restaurant Gary Danko
10,0,2,irrelevant,1,0,False,2,False,3,1,1,1.0,24.0,29.0,30.0,practice_food2.png,Blue Bottle Cafe
10,0,3,irrelevant,0,0,True,1,False,3,1,1,1.0,30.0,35.0,36.0,practice_food0.png,Blue Bottle Cafe
10,0,4,irrelevant,0,1,True,1,False,3,1,1,3.0,36.0,41.0,44.0,practice_food0.png,Restaurant Gary Danko
10,0,5,irrelevant,0,1,True,1,False,3,1,1,1.0,44.0,49.0,50.0,practice_food0.png,Restaurant Gary Danko
10,0,6,irrelevant,0,0,True,1,False,3,1,1,1.0,50.0,55.0,56.0,practice_food0.png,Blue Bottle Cafe
10,0,7,irrelevant,0,0,True,1,False,3,1,1,1.0,56.0,61.0,62.0,practice_food0.png,Blue Bottle Cafe
10,0,8,irrelevant,1,1,False,2,False,3,1,1,1.0,62.0,67.0,68.0,practice_food2.png,Restaurant Gary Danko
10,0,9,irrelevant,1,1,False,2,False,3,1,1,3.0,68.0,73.0,76.0,practice_food2.png,Restaurant Gary Danko
10,0,10,irrelevant,0,0,True,1,False,3,1,1,5.0,76.0,81.0,86.0,practice_food0.png,Blue Bottle Cafe
10,0,11,irrelevant,0,0,True,1,False,3,1,1,3.0,86.0,91.0,94.0,practice_food0.png,Blue Bottle Cafe
10,0,12,irrelevant,1,1,False,2,False,3,1,1,1.0,94.0,99.0,100.0,practice_food2.png,Restaurant Gary Danko
10,0,13,irrelevant,1,0,False,2,False,3,1,1,1.0,100.0,105.0,106.0,practice_food2.png,Blue Bottle Cafe
10,0,14,irrelevant,1,0,False,2,False,3,1,1,3.0,106.0,111.0,114.0,practice_food2.png,Blue Bottle Cafe
10,0,15,irrelevant,1,1,False,2,False,3,1,1,7.0,114.0,119.0,126.0,practice_food2.png,Restaurant Gary Danko
10,0,16,irrelevant,0,1,True,1,False,3,1,1,1.0,126.0,131.0,132.0,practice_food0.png,Restaurant Gary Danko
10,0,17,irrelevant,0,1,True,1,False,3,1,1,1.0,132.0,137.0,138.0,practice_food0.png,Restaurant Gary Danko
10,0,18,irrelevant,1,0,False,2,False,3,1,1,5.0,138.0,143.0,148.0,practice_food2.png,Blue Bottle Cafe
10,0,19,irrelevant,0,1,True,1,False,3,1,1,1.0,148.0,153.0,154.0,practice_food0.png,Restaurant Gary Danko
10,0,20,irrelevant,0,0,None,None,True,6,0,0,2,158.0,164.0,166.0,practice_food0.png,Blue Bottle Cafe
10,0,21,irrelevant,0,2,None,None,True,6,0,0,6,166.0,172.0,178.0,practice_food0.png,Seven Hills
10,0,22,irrelevant,2,2,None,None,True,6,0,0,4,178.0,184.0,188.0,practice_food1.png,Seven Hills
10,0,23,irrelevant,2,0,None,None,True,6,0,0,0,188.0,194.0,194.0,practice_food1.png,Blue Bottle Cafe
