subjectN,runN,trialN,contextRole,cueId,contextId,isSick,corrButton,isTest,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,stimOffset,itiOffset,food,restaurant
5,1,0,modulatory,0,0,True,1,False,3,1,1,5.0,10,15.0,20.0,italian_food1.png,Trattoria Contadina
5,1,1,modulatory,0,1,False,2,False,3,1,1,7.0,20.0,25.0,32.0,italian_food1.png,Fino Bar & Restorante
5,1,2,modulatory,0,1,False,2,False,3,1,1,3.0,32.0,37.0,40.0,italian_food1.png,Fino Bar & Restorante
5,1,3,modulatory,1,1,True,1,False,3,1,1,5.0,40.0,45.0,50.0,italian_food0.png,Fino Bar & Restorante
5,1,4,modulatory,1,1,True,1,False,3,1,1,1.0,50.0,55.0,56.0,italian_food0.png,Fino Bar & Restorante
5,1,5,modulatory,0,1,False,2,False,3,1,1,3.0,56.0,61.0,64.0,italian_food1.png,Fino Bar & Restorante
5,1,6,modulatory,1,0,False,2,False,3,1,1,1.0,64.0,69.0,70.0,italian_food0.png,Trattoria Contadina
5,1,7,modulatory,1,0,False,2,False,3,1,1,5.0,70.0,75.0,80.0,italian_food0.png,Trattoria Contadina
5,1,8,modulatory,0,0,True,1,False,3,1,1,1.0,80.0,85.0,86.0,italian_food1.png,Trattoria Contadina
5,1,9,modulatory,1,1,True,1,False,3,1,1,1.0,86.0,91.0,92.0,italian_food0.png,Fino Bar & Restorante
5,1,10,modulatory,1,0,False,2,False,3,1,1,1.0,92.0,97.0,98.0,italian_food0.png,Trattoria Contadina
5,1,11,modulatory,1,1,True,1,False,3,1,1,1.0,98.0,103.0,104.0,italian_food0.png,Fino Bar & Restorante
5,1,12,modulatory,1,1,True,1,False,3,1,1,1.0,104.0,109.0,110.0,italian_food0.png,Fino Bar & Restorante
5,1,13,modulatory,0,0,True,1,False,3,1,1,1.0,110.0,115.0,116.0,italian_food1.png,Trattoria Contadina
5,1,14,modulatory,1,0,False,2,False,3,1,1,1.0,116.0,121.0,122.0,italian_food0.png,Trattoria Contadina
5,1,15,modulatory,0,0,True,1,False,3,1,1,1.0,122.0,127.0,128.0,italian_food1.png,Trattoria Contadina
5,1,16,modulatory,0,1,False,2,False,3,1,1,1.0,128.0,133.0,134.0,italian_food1.png,Fino Bar & Restorante
5,1,17,modulatory,1,0,False,2,False,3,1,1,3.0,134.0,139.0,142.0,italian_food0.png,Trattoria Contadina
5,1,18,modulatory,0,1,False,2,False,3,1,1,1.0,142.0,147.0,148.0,italian_food1.png,Fino Bar & Restorante
5,1,19,modulatory,0,0,True,1,False,3,1,1,1.0,148.0,153.0,154.0,italian_food1.png,Trattoria Contadina
5,1,20,modulatory,0,0,None,None,True,6,0,0,2,158.0,164.0,166.0,italian_food1.png,Trattoria Contadina
5,1,21,modulatory,2,2,None,None,True,6,0,0,6,166.0,172.0,178.0,italian_food2.png,Restorante Milano
5,1,22,modulatory,0,2,None,None,True,6,0,0,4,178.0,184.0,188.0,italian_food1.png,Restorante Milano
5,1,23,modulatory,2,0,None,None,True,6,0,0,0,188.0,194.0,194.0,italian_food2.png,Trattoria Contadina
